"Id","Group","Name","Scene","PreviewFile","Path"
"SFX-001","01人物出场","硬地面稳步","男主或权势人物近距离入场","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-001_硬地面稳步.mp3","kenney_impactsounds/Audio/footstep_concrete_000.ogg"
"SFX-002","01人物出场","地毯闷脚步","酒店、会场、办公室地毯","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-002_地毯闷脚步.mp3","kenney_impactsounds/Audio/footstep_carpet_000.ogg"
"SFX-003","01人物出场","木地板脚步","老宅、卧室、木质舞厅","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-003_木地板脚步.mp3","kenney_impactsounds/Audio/footstep_wood_000.ogg"
"SFX-004","01人物出场","湿地脚步","雨夜、湿地、室外追赶","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-004_湿地脚步.mp3","100-cc0-sfx-2/sfx100v2_footstep_wet_01.ogg"
"SFX-005","01人物出场","草地脚步","庭院、公园、乡村外景","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-005_草地脚步.mp3","kenney_impactsounds/Audio/footstep_grass_000.ogg"
"SFX-006","01人物出场","衣料转身","快速转身、起身、拥抱","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-006_衣料转身.mp3","kenney_rpgaudio/Audio/cloth1.ogg"
"SFX-007","01人物出场","衣料拉扯","抓衣领、推搡、拉开包袋","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-007_衣料拉扯.mp3","kenney_rpgaudio/Audio/clothBelt.ogg"
"SFX-008","01人物出场","钥匙晃动","开锁、车钥匙、回家动作铺垫","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-008_钥匙晃动.mp3","100-CC0-wood-metal-SFX/keys_01.ogg"
"SFX-011","02门与物件","室内门打开","正常进入卧室或办公室","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-011_室内门打开.mp3","100-CC0-SFX/door_open.ogg"
"SFX-012","02门与物件","室内门关闭","关门密谈、人物离开","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-012_室内门关闭.mp3","100-CC0-SFX/door_close_01.ogg"
